Entity,Code,Year,Coal - Prices (US dollars per megawatt-hour),Coal Consumption,Coal Production,Reserve
Asian marker price,,1998,3.620781945948214,12470.38161062551,6.050601452,
Asian marker price,,1999,3.4169597392727775,12867.746528281743,5.687496864,
Asian marker price,,2000,3.9011724063949997,13304.05274618416,5.87402167,
Asian marker price,,2001,4.531949256873611,13915.379938866316,6.268066844,
Asian marker price,,2002,3.73500390342,14981.427302671726,7.076115561,
Asian marker price,,2003,4.487065184167221,17129.861197325976,8.005740909,
Asian marker price,,2004,8.89530363975,19268.31017027655,8.678202401,
Asian marker price,,2005,7.59611844072,21897.434790054584,10.4813321,
Asian marker price,,2006,6.9369381877588765,23559.259313183305,11.10421343,
Asian marker price,,2007,10.387544565645001,25555.882580364138,11.82987335,
Asian marker price,,2008,18.186750260925002,26252.40591851803,12.342793930000001,
Asian marker price,,2009,9.68021950062,27170.907173304822,13.08218436,
Asian marker price,,2010,12.9505998917175,28403.446679870805,14.02336172,
Asian marker price,,2011,15.44486759931,30477.696130197324,15.18892247,
Asian marker price,,2012,12.959607794137499,31137.956329991925,13.91179488,
Asian marker price,,2013,11.165295049589998,31962.60224780335,14.0065076,
Asian marker price,,2014,9.5673136327875,32179.920139182188,13.57209776,
Asian marker price,,2015,7.802074041607475,31956.1517227553,15.483506929999999,
Asian marker price,,2016,8.58685710808299,32024.752430457127,14.22015541,
China Qinhuangdao spot price,,2000,3.380554444822316,8211.406204371851,5.687496864,
China Qinhuangdao spot price,,2001,3.9041899808403127,8635.754751243225,5.87402167,
China Qinhuangdao spot price,,2002,4.077492457598152,9467.457537270244,6.268066844,
China Qinhuangdao spot price,,2003,3.8993211292303886,11283.05857841167,7.076115561,
China Qinhuangdao spot price,,2004,5.252482359921893,13155.279703915583,8.005740909,
China Qinhuangdao spot price,,2005,6.306539229771523,15405.105738806564,8.678202401,
China Qinhuangdao spot price,,2006,6.574897448322079,16918.381738955406,10.4813321,
China Qinhuangdao spot price,,2007,7.5209220080393075,18423.91293498321,11.10421343,
China Qinhuangdao spot price,,2008,12.894259054699896,18715.920623592017,11.82987335,
China Qinhuangdao spot price,,2009,10.79249536491952,19605.601270552044,12.342793930000001,
China Qinhuangdao spot price,,2010,13.521583297064561,20340.275890070658,13.08218436,
China Qinhuangdao spot price,,2011,15.633018248083545,22141.805331378175,14.02336172,
China Qinhuangdao spot price,,2012,13.743976483514116,22420.23367287713,15.18892247,
China Qinhuangdao spot price,,2013,11.720750781468828,22900.319113977628,13.91179488,
China Qinhuangdao spot price,,2014,10.332444143721315,22730.653068720127,14.0065076,
China Qinhuangdao spot price,,2015,8.295280644755126,22255.36204787045,13.57209776,
China Qinhuangdao spot price,,2016,8.76413988571721,21952.221156986303,15.483506929999999,
Japan coking coal import cif price,,1987,6.564201800992499,809.3264665,0.662339253,
Japan coking coal import cif price,,1988,6.7638087296175,874.7718492000001,0.6254879327,
Japan coking coal import cif price,,1989,7.208471549077499,876.1640765000001,0.5666763038,
Japan coking coal import cif price,,1990,7.436023447709999,907.6897501000002,0.5092696157,
Japan coking coal import cif price,,1991,7.4253777448500005,900.4807783000001,0.4302521849,
Japan coking coal import cif price,,1992,7.101809795422501,885.254666,0.3857444588,
Japan coking coal import cif price,,1993,6.787659198524999,902.8054990000002,0.3541872457,
Japan coking coal import cif price,,1994,6.3585554832449995,945.3257094000002,0.3108850501,
Japan coking coal import cif price,,1995,6.690619522455,979.8555283000002,0.2905620562,
Japan coking coal import cif price,,1996,6.9621873079125,1005.5824839,0.2829926178,
Japan coking coal import cif price,,1997,6.818572681829999,1032.9460131,0.19094402130000002,
Japan coking coal import cif price,,1998,6.2346968249699986,984.7194269000001,0.17754740419999998,
Japan coking coal import cif price,,1999,5.261126825917499,1035.9771400000002,0.1768740599,
Japan coking coal import cif price,,2000,4.8758342724074994,1110.603361,0.135015264,
Japan coking coal import cif price,,2001,5.0766695513625,1137.154651,0.1459013881,
Japan coking coal import cif price,,2002,5.160709186440001,1207.9080820000001,0.059011235890000006,
Japan coking coal import cif price,,2003,5.1062523218099996,1241.2594330000002,0.06763765756,
Japan coking coal import cif price,,2004,7.48802361168,1274.1025530000002,0.059011235890000006,
Japan coking coal import cif price,,2005,10.97285349789,1326.2667603837922,0.06763765756,
Japan coking coal import cif price,,2006,11.4804692717625,1306.612469134098,0.059011235890000006,
Japan coking coal import cif price,,2007,10.839270399502501,1368.941395503146,0.06763765756,
Japan coking coal import cif price,,2008,21.990746507879997,1399.2043989145784,0.059011235890000006,
Japan coking coal import cif price,,2009,20.6144823256425,1181.985327894007,0.06763765756,
Japan coking coal import cif price,,2010,19.5241166827125,1345.7531466997582,0.059011235890000006,
Japan coking coal import cif price,,2011,28.144372211069996,1274.773730692568,0.06763765756,
Japan coking coal import cif price,,2012,23.518507230817498,1346.934126098258,0.059011235890000006,
Japan coking coal import cif price,,2013,17.25177093474,1408.9929537780592,0.06763765756,
Japan coking coal import cif price,,2014,14.053965575639998,1385.7042348766865,0.059011235890000006,
Japan coking coal import cif price,,2015,11.527453671884997,1394.293927721624,0.059011235890000006,
Japan coking coal import cif price,,2016,10.981247225145,1394.889824297193,0.06763765756,
Japan steam coal import cif price,,1987,5.070834887294999,809.3264665,0.662339253,
Japan steam coal import cif price,,1988,5.2162920388725,874.7718492000001,0.6254879327,
Japan steam coal import cif price,,1989,6.0020267999625,876.1640765000001,0.5666763038,
Japan steam coal import cif price,,1990,6.2417598393675,907.6897501000002,0.5092696157,
Japan steam coal import cif price,,1991,6.178090347262501,900.4807783000001,0.4302521849,
Japan steam coal import cif price,,1992,5.951869161487501,885.254666,0.3857444588,
Japan steam coal import cif price,,1993,5.614994083485,902.8054990000002,0.3541872457,
Japan steam coal import cif price,,1994,5.3631822658349995,945.3257094000002,0.3108850501,
Japan steam coal import cif price,,1995,5.843876694975,979.8555283000002,0.2905620562,
Japan steam coal import cif price,,1996,6.084735722182499,1005.5824839,0.2829926178,
Japan steam coal import cif price,,1997,5.592474327434999,1032.9460131,0.19094402130000002,
Japan steam coal import cif price,,1998,4.9756377367199995,984.7194269000001,0.17754740419999998,
Japan steam coal import cif price,,1999,4.3902264419475,1035.9771400000002,0.1768740599,
Japan steam coal import cif price,,2000,4.24763544114,1110.603361,0.135015264,
Japan steam coal import cif price,,2001,4.663022577735,1137.154651,0.1459013881,
Japan steam coal import cif price,,2002,4.5325103551725,1207.9080820000001,0.059011235890000006,
Japan steam coal import cif price,,2003,4.26728904642,1241.2594330000002,0.06763765756,
Japan steam coal import cif price,,2004,6.30635059422,1274.1025530000002,0.059011235890000006,
Japan steam coal import cif price,,2005,7.727551926029999,1326.2667603837922,0.06763765756,
Japan steam coal import cif price,,2006,7.743008667682499,1306.612469134098,0.059011235890000006,
Japan steam coal import cif price,,2007,8.5813577679075,1368.941395503146,0.06763765756,
Japan steam coal import cif price,,2008,15.08537040273,1399.2043989145784,0.059011235890000006,
Japan steam coal import cif price,,2009,13.524956033520002,1181.985327894007,0.06763765756,
Japan steam coal import cif price,,2010,12.920402946105,1345.7531466997582,0.059011235890000006,
Japan steam coal import cif price,,2011,16.731155119875,1274.773730692568,0.06763765756,
Japan steam coal import cif price,,2012,16.412398209239996,1346.934126098258,0.059011235890000006,
Japan steam coal import cif price,,2013,13.654035180697498,1408.9929537780592,0.06763765756,
Japan steam coal import cif price,,2014,11.995352785087501,1385.7042348766865,0.059011235890000006,
Japan steam coal import cif price,,2015,9.76170007251,1394.293927721624,0.059011235890000006,
Japan steam coal import cif price,,2016,8.9628629079,1394.889824297193,0.06763765756,
Japan steam spot cif price,,2001,4.629637039390875,8635.754751243225,0.1459013881,
Japan steam spot cif price,,2002,3.8662009312914742,9467.457537270244,0.059011235890000006,
Japan steam spot cif price,,2003,4.865814516403161,11283.05857841167,0.06763765756,
Japan steam spot cif price,,2004,9.1163043366225,13155.279703915583,0.059011235890000006,
Japan steam spot cif price,,2005,7.93797857381175,15405.105738806564,0.06763765756,
Japan steam spot cif price,,2006,8.0109937646775,16918.381738955406,0.059011235890000006,
Japan steam spot cif price,,2007,11.7413135588391,18423.91293498321,0.06763765756,
Japan steam spot cif price,,2008,19.3928879224575,18715.920623592017,0.059011235890000006,
Japan steam spot cif price,,2009,10.267370958359999,19605.601270552044,0.06763765756,
Japan steam spot cif price,,2010,13.323340752105452,20340.275890070658,0.059011235890000006,
Japan steam spot cif price,,2011,15.493285074817503,22141.805331378175,0.06763765756,
Japan steam spot cif price,,2012,12.320149084845,22420.23367287713,0.059011235890000006,
Japan steam spot cif price,,2013,11.063137247144999,22900.319113977628,0.06763765756,
Japan steam spot cif price,,2014,9.351431062289999,22730.653068720127,0.059011235890000006,
Japan steam spot cif price,,2015,7.381879812414152,22255.36204787045,0.059011235890000006,
Japan steam spot cif price,,2016,8.802107923669588,21952.221156986303,0.06763765756,
Northwest Europe marker price,,1987,3.8447365329,809.08747,15.00643693,
Northwest Europe marker price,,1988,4.90603121802,785.39716,14.899018700000001,
Northwest Europe marker price,,1989,5.16889818864,755.9965200000001,14.250810880000001,
Northwest Europe marker price,,1990,5.340867234839999,755.3103500000001,13.20621637,
Northwest Europe marker price,,1991,5.2573394123999995,756.5896500000001,13.37471012,
Northwest Europe marker price,,1992,4.73283382149,711.3838400000001,11.96387582,
Northwest Europe marker price,,1993,4.1370839114399995,619.4835800000001,9.630589831,
Northwest Europe marker price,,1994,4.56700652694,578.40642,7.0107988180000005,
Northwest Europe marker price,,1995,5.4661589685,551.9132800000001,7.447166623,
Northwest Europe marker price,,1996,5.06694511125,515.97658,7.026764944,
Northwest Europe marker price,,1997,4.78073948436,460.17584,6.766414856000001,
Northwest Europe marker price,,1998,3.930721056,448.69121500000006,5.725891400000001,
Northwest Europe marker price,,1999,3.5364206000699996,398.917141,5.138053936,
Northwest Europe marker price,,2000,4.42083283767,427.147803,4.308326837,
Northwest Europe marker price,,2001,4.794771024668076,452.54539700000004,4.394655029,
Northwest Europe marker price,,2002,3.8876815502065387,415.308463,4.113665001999999,
Northwest Europe marker price,,2003,5.355347595460961,443.1483570000001,3.864022846,
Northwest Europe marker price,,2004,8.853736579544423,425.8915107050309,3.411705353,
Northwest Europe marker price,,2005,7.436338409333078,435.3024824723394,2.768047577,
Northwest Europe marker price,,2006,7.874717744412692,476.042866148664,2.4792972260000004,
Northwest Europe marker price,,2007,10.905932027026733,446.4471715195127,2.2544427500000004,
Northwest Europe marker price,,2008,18.139498143422887,414.2036686599144,2.367596567,
Northwest Europe marker price,,2009,8.679384373252073,346.48780442066465,2.319885284,
Northwest Europe marker price,,2010,11.36219330825654,359.69037323470815,2.359301313,
Northwest Europe marker price,,2011,14.927220297742503,365.7516416163143,2.36682652,
Northwest Europe marker price,,2012,11.36219330825654,453.08206701735384,2.149804313,
Northwest Europe marker price,,2013,10.034275735161346,428.4716325472914,1.607951576,
Northwest Europe marker price,,2014,9.259399276026924,345.65601180727936,1.458466617,
Northwest Europe marker price,,2015,6.976226722261154,267.6693118808646,0.9614516736000001,
Northwest Europe marker price,,2016,7.354026041624546,127.61612295711627,0.46354403650000003,
US Central Appalachian coal spot price index,,1990,3.880594290063294,5618.9446574711565,23.643141919999998,
US Central Appalachian coal spot price index,,1991,3.563509633233914,5565.909051257443,22.51699287,
US Central Appalachian coal spot price index,,1992,3.5050409950375028,5604.243040307038,22.33611556,
US Central Appalachian coal spot price index,,1993,3.667111957055625,5813.108051384158,20.70496832,
US Central Appalachian coal spot price index,,1994,3.8958576819293045,5834.887627964005,22.374398000000003,
US Central Appalachian coal spot price index,,1995,3.31732589345955,5887.424720287356,22.04704505,
US Central Appalachian coal spot price index,,1996,3.668137722638018,6155.053411644706,22.43632735,
US Central Appalachian coal spot price index,,1997,3.65557058208,6285.029552052871,22.67704476,
US Central Appalachian coal spot price index,,1998,3.808267558848751,6346.672069455401,23.095498090000003,
US Central Appalachian coal spot price index,,1999,3.8440360047068007,6336.942109925684,22.10618175,
US Central Appalachian coal spot price index,,2000,3.673317838829104,6617.406434943366,21.33075999,
US Central Appalachian coal spot price index,,2001,6.160748087853451,6422.437974800601,21.86370158,
US Central Appalachian coal spot price index,,2002,4.077875510501714,6419.425497270301,20.91996561,
US Central Appalachian coal spot price index,,2003,4.731937838021687,6541.618256196831,20.140202010000003,
US Central Appalachian coal spot price index,,2004,7.97220736612721,6584.191811347538,20.64314792,
US Central Appalachian coal spot price index,,2005,8.613481816053346,6681.007253236787,20.741440299999997,
US Central Appalachian coal spot price index,,2006,7.73329032069945,6578.613203526811,21.081792529999998,
US Central Appalachian coal spot price index,,2007,6.28476699338572,6667.2103464662905,20.62862329,
US Central Appalachian coal spot price index,,2008,14.591123481610072,6561.110120002915,20.7528412,
US Central Appalachian coal spot price index,,2009,8.363173216430786,5770.922522330359,18.64015446,
US Central Appalachian coal spot price index,,2010,8.798135007367854,6105.8332976935635,18.84382446,
US Central Appalachian coal spot price index,,2011,10.733411029873688,5761.127794094134,18.85732106,
US Central Appalachian coal spot price index,,2012,8.851232907935787,5093.057636083074,17.453429220000004,
US Central Appalachian coal spot price index,,2013,8.769221240014147,5286.601477753731,16.80026216,
US Central Appalachian coal spot price index,,2014,8.475419752295789,5274.5852708056,16.917300739999998,
US Central Appalachian coal spot price index,,2015,6.582240294486722,4556.923970868561,16.28500346,
US Central Appalachian coal spot price index,,2016,6.579292500644319,4168.550877813472,13.13061593,